video_name,frame_no,LED_no,x,y,threshold
Ian_Phase1_60_Both.mp4,163,5,780,23,245
Ian_Phase1_60_Both.mp4,163,6,805,29,245
Ian_Phase1_60_Both.mp4,163,7,829,27,245
Ian_Phase1_100_Both.mp4,153,1,699,6,245
Ian_Phase1_100_Both.mp4,153,2,722,7,245
Ian_Phase1_100_Both.mp4,153,3,739,11,245
Ian_Phase1_100_Both.mp4,153,4,760,12,245
Ian_Phase1_100_Both.mp4,153,5,784,12,245
Ian_Phase1_100_Both.mp4,153,6,805,20,245
Ian_Phase1_100_Both.mp4,153,7,834,16,245
Ian_Phase1_140_Both.mp4,167,1,701,3,245
Ian_Phase1_140_Both.mp4,167,2,722,3,245
Ian_Phase1_140_Both.mp4,167,3,740,7,245
Ian_Phase1_140_Both.mp4,167,4,760,7,245
Ian_Phase1_140_Both.mp4,167,5,782,11,245
Ian_Phase1_140_Both.mp4,167,6,806,17,245
Ian_Phase1_140_Both.mp4,167,7,830,16,245
Ian_Phase2_60_L.mp4,164,1,697,4,245
Ian_Phase2_60_L.mp4,164,2,720,6,245
Ian_Phase2_60_L.mp4,164,3,738,7,245
Ian_Phase2_60_L.mp4,164,4,759,11,245
Ian_Phase2_60_L.mp4,164,5,778,13,245
Ian_Phase2_60_L.mp4,164,6,802,15,245
Ian_Phase2_60_L.mp4,164,7,826,16,245
Ian_Phase2_60_R.mp4,126,1,698,4,245
Ian_Phase2_60_R.mp4,126,2,721,4,245
Ian_Phase2_60_R.mp4,126,3,737,7,245
Ian_Phase2_60_R.mp4,126,4,758,10,245
Ian_Phase2_60_R.mp4,126,5,780,9,245
Ian_Phase2_60_R.mp4,126,6,805,17,245
Ian_Phase2_60_R.mp4,126,7,830,18,245
Ian_Phase2_100_Both.mp4,155,1,698,3,245
Ian_Phase2_100_Both.mp4,155,2,722,3,245
Ian_Phase2_100_Both.mp4,155,3,740,5,245
Ian_Phase2_100_Both.mp4,155,4,760,7,245
Ian_Phase2_100_Both.mp4,155,5,780,8,245
Ian_Phase2_100_Both.mp4,155,6,804,14,245
Ian_Phase2_100_Both.mp4,155,7,834,13,245
Ian_Phase2_140_Both.mp4,191,1,695,1,245
Ian_Phase2_140_Both.mp4,191,2,718,4,245
Ian_Phase2_140_Both.mp4,191,3,736,3,245
Ian_Phase2_140_Both.mp4,191,4,756,8,245
Ian_Phase2_140_Both.mp4,191,5,778,8,245
Ian_Phase2_140_Both.mp4,191,6,801,11,245
Ian_Phase2_140_Both.mp4,191,7,832,13,245
James_Phase1_60_Both.mp4,135,1,678,15,245
James_Phase1_60_Both.mp4,135,2,703,18,245
James_Phase1_60_Both.mp4,135,3,720,21,245
James_Phase1_60_Both.mp4,135,4,739,24,245
James_Phase1_60_Both.mp4,135,5,762,25,245
James_Phase1_60_Both.mp4,135,6,786,28,245
James_Phase1_60_Both.mp4,135,7,810,30,245
James_Phase1_100_Both.mp4,145,1,679,17,245
James_Phase1_100_Both.mp4,145,2,701,18,245
James_Phase1_100_Both.mp4,145,3,719,22,245
James_Phase1_100_Both.mp4,145,4,740,24,245
James_Phase1_100_Both.mp4,145,5,762,25,245
James_Phase1_100_Both.mp4,145,6,786,27,245
James_Phase1_100_Both.mp4,145,7,809,31,245
James_Phase1_140_Both.mp4,172,1,678,16,245
James_Phase1_140_Both.mp4,172,2,700,17,245
James_Phase1_140_Both.mp4,172,3,717,22,245
James_Phase1_140_Both.mp4,172,4,739,22,245
James_Phase1_140_Both.mp4,172,5,759,26,245
James_Phase1_140_Both.mp4,172,6,783,27,245
James_Phase1_140_Both.mp4,172,7,807,29,245
James_Phase2_140_Both.mp4,112,1,679,16,245
James_Phase2_140_Both.mp4,112,2,701,17,245
James_Phase2_140_Both.mp4,112,3,718,23,245
James_Phase2_140_Both.mp4,112,4,738,22,245
James_Phase2_140_Both.mp4,112,5,761,23,245
James_Phase2_140_Both.mp4,112,6,786,27,245
James_Phase2_140_Both.mp4,112,7,807,29,245
James_Phase5_Right.mp4,1,1,672,39,245
James_Phase5_Right.mp4,1,2,696,42,245
James_Phase5_Right.mp4,1,3,713,48,245
James_Phase5_Right.mp4,1,4,732,50,245
James_Phase5_Right.mp4,1,5,756,52,245
James_Phase5_Right.mp4,1,6,780,57,245
James_Phase5_Right.mp4,1,7,803,59,245
Julse_Phase1_60_Both.mp4,308,1,687,17,245
Julse_Phase1_60_Both.mp4,308,2,712,19,245
Julse_Phase1_60_Both.mp4,308,3,729,21,245
Julse_Phase1_60_Both.mp4,308,4,748,25,245
Julse_Phase1_60_Both.mp4,308,5,772,25,245
Julse_Phase1_60_Both.mp4,308,6,796,29,245
Julse_Phase1_60_Both.mp4,308,7,818,31,245
Julse_Phase1_100_Both.mp4,162,1,687,16,245
Julse_Phase1_100_Both.mp4,162,2,709,15,245
Julse_Phase1_100_Both.mp4,162,3,728,23,245
Julse_Phase1_100_Both.mp4,162,4,748,23,245
Julse_Phase1_100_Both.mp4,162,5,774,23,245
Julse_Phase1_100_Both.mp4,162,6,793,28,245
Julse_Phase1_100_Both.mp4,162,7,818,27,245
Julse_Phase1_140_Both.mp4,111,1,686,11,245
Julse_Phase1_140_Both.mp4,111,2,711,16,245
Julse_Phase1_140_Both.mp4,111,3,729,19,245
Julse_Phase1_140_Both.mp4,111,4,749,22,245
Julse_Phase1_140_Both.mp4,111,5,769,22,245
Julse_Phase1_140_Both.mp4,111,6,794,26,245
Julse_Phase1_140_Both.mp4,111,7,818,27,245
Julse_Phase2_60_Both.mp4,77,1,684,15,245
Julse_Phase2_60_Both.mp4,77,2,709,16,245
Julse_Phase2_60_Both.mp4,77,3,727,22,245
Julse_Phase2_60_Both.mp4,77,4,746,23,245
Julse_Phase2_60_Both.mp4,77,5,770,24,245
Julse_Phase2_60_Both.mp4,77,6,791,28,245
Julse_Phase2_60_Both.mp4,77,7,819,29,245
Stellar_Phase1_60_L.mp4,153,1,678,24,245
Stellar_Phase1_60_L.mp4,153,2,698,22,245
Stellar_Phase1_60_L.mp4,153,3,714,23,245
Stellar_Phase1_60_L.mp4,153,4,736,21,245
Stellar_Phase1_60_L.mp4,153,5,757,23,245
Stellar_Phase1_60_L.mp4,153,6,777,22,245
Stellar_Phase1_60_L.mp4,153,7,794,20,245
Stellar_Phase1_60_R.mp4,98,1,678,23,245
Stellar_Phase1_60_R.mp4,98,2,698,23,245
Stellar_Phase1_60_R.mp4,98,3,716,22,245
Stellar_Phase1_60_R.mp4,98,4,735,21,245
Stellar_Phase1_60_R.mp4,98,5,755,23,245
Stellar_Phase1_60_R.mp4,98,6,776,23,245
Stellar_Phase1_60_R.mp4,98,7,793,22,245
Stellar_Phase1_100_L.mp4,112,1,677,26,245
Stellar_Phase1_100_L.mp4,112,2,698,23,245
Stellar_Phase1_100_L.mp4,112,3,715,22,245
Stellar_Phase1_100_L.mp4,112,4,736,20,245
Stellar_Phase1_100_L.mp4,112,5,757,22,245
Stellar_Phase1_100_L.mp4,112,6,775,21,245
Stellar_Phase1_100_L.mp4,112,7,794,19,245
Stellar_Phase1_100_R.mp4,92,1,678,24,245
Stellar_Phase1_100_R.mp4,92,2,697,24,245
Stellar_Phase1_100_R.mp4,92,3,717,22,245
Stellar_Phase1_100_R.mp4,92,4,734,20,245
Stellar_Phase1_100_R.mp4,92,5,756,22,245
Stellar_Phase1_100_R.mp4,92,6,776,23,245
Stellar_Phase1_100_R.mp4,92,7,794,22,245
Stellar_Phase1_140_L.mp4,105,1,677,21,245
Stellar_Phase1_140_L.mp4,105,2,698,22,245
Stellar_Phase1_140_L.mp4,105,3,717,21,245
Stellar_Phase1_140_L.mp4,105,4,736,21,245
Stellar_Phase1_140_L.mp4,105,5,757,22,245
Stellar_Phase1_140_L.mp4,105,6,777,21,245
Stellar_Phase1_140_L.mp4,105,7,793,20,245
Stellar_Phase1_140_R.mp4,99,1,679,26,245
Stellar_Phase1_140_R.mp4,99,2,699,21,245
Stellar_Phase1_140_R.mp4,99,3,717,23,245
Stellar_Phase1_140_R.mp4,99,4,735,23,245
Stellar_Phase1_140_R.mp4,99,5,755,22,245
Stellar_Phase1_140_R.mp4,99,6,777,22,245
Stellar_Phase1_140_R.mp4,99,7,794,21,245
Stellar_Phase2_60_L.mp4,152,1,678,25,245
Stellar_Phase2_60_L.mp4,152,2,695,23,245
Stellar_Phase2_60_L.mp4,152,3,713,22,245
Stellar_Phase2_60_L.mp4,152,4,733,21,245
Stellar_Phase2_60_L.mp4,152,5,755,24,245
Stellar_Phase2_60_L.mp4,152,6,773,24,245
Stellar_Phase2_60_L.mp4,152,7,793,21,245
Stellar_Phase2_60_R.mp4,102,1,677,26,245
