Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,FPS,Inference (ms)
SVM,0.9800,1.0000,0.9565,0.9778,0.9996,inf,0.00
Random Forest,0.9600,0.9773,0.9348,0.9556,0.9966,1335.19,0.75
