video_name,frame,fingertip,tip2dip,tip2pip,tip2mcp,tip2wrist,disp,velocity_size,velocity_disp,acceleration_disp,distance_cm,is_hovering,video_index
Schubert - Serenade (arr. Liszt).mp4,110,index,5.385164807134504,16.0312195418814,49.49747468305833,132.74034804836094,0.0,50.913551770108796,0.0,0.0,115.8625,True,6
Schubert - Serenade (arr. Liszt).mp4,111,index,5.0,16.1245154965971,50.99019513592785,127.3184982632139,6.708203932499369,50.385926997021755,3.3541019662496847,-3.3541019662496847,115.8625,True,6
Schubert - Serenade (arr. Liszt).mp4,112,index,6.0,16.492422502470642,48.76474136094644,123.14625451064275,2.23606797749979,49.79090286251949,2.9814239699997196,0.3726779962499651,115.8625,True,6
Schubert - Serenade (arr. Liszt).mp4,113,index,3.0,12.36931687685298,46.17358552246078,120.20399327809372,3.0,48.70235812672758,2.98606797749979,-0.004644007500070213,115.8625,True,6
Schubert - Serenade (arr. Liszt).mp4,114,index,4.123105625617661,13.92838827718412,47.43416490252569,122.10241602851272,1.4142135623730951,48.34129024307408,2.671697094474451,0.3143708830253389,115.8625,True,6
Schubert - Serenade (arr. Liszt).mp4,115,index,3.1622776601683795,13.0,46.486557196677836,120.10412149464314,1.0,47.89911505054045,2.3930809120620427,0.27861618241240826,115.8625,True,6
Schubert - Serenade (arr. Liszt).mp4,116,index,4.123105625617661,13.416407864998739,46.8187996428785,120.03749414245534,1.0,47.64194887460433,2.1940693531960362,0.1990115588660064,115.8625,True,6
Schubert - Serenade (arr. Liszt).mp4,117,index,3.1622776601683795,12.083045973594572,45.880278987817846,119.06720791217035,1.4142135623730951,47.31773059445851,2.096587379343169,0.09748197385286739,115.8625,True,6
Schubert - Serenade (arr. Liszt).mp4,118,index,3.1622776601683795,13.92838827718412,46.8187996428785,121.06609764917675,1.0,47.19841506255778,1.974744337193928,0.12184304214924091,115.8625,True,6
Schubert - Serenade (arr. Liszt).mp4,119,index,3.0,13.601470508735444,46.486557196677836,121.10326172320876,1.0,47.08335579201755,1.877269903474535,0.0974744337193929,115.8625,True,6
