video_name,frame,fingertip,tip2dip,tip2pip,tip2mcp,tip2wrist,disp,velocity_size,velocity_disp,acceleration_disp,distance_cm,is_hovering,video_index
Debussy - Rêverie.mp4,104,index,8.54400374531753,13.038404810405298,37.20215047547655,110.78808600206071,0.0,42.39316125831502,0.0,0.0,115.8625,True,2
Debussy - Rêverie.mp4,105,index,4.123105625617661,15.556349186104045,51.478150704935004,126.14277624977183,30.01666203960727,45.859128349961075,15.008331019803634,-15.008331019803634,115.8625,True,2
Debussy - Rêverie.mp4,106,index,4.47213595499958,12.529964086141668,45.617978911828175,119.86659251017358,5.0,45.77997485523597,11.67222067986909,3.336110339934544,115.8625,True,2
Debussy - Rêverie.mp4,107,index,3.1622776601683795,11.40175425099138,44.598206241955516,117.92370414806346,8.94427190999916,45.40285253525065,10.990233487401607,0.6819871924674832,115.8625,True,2
Debussy - Rêverie.mp4,108,index,5.0,15.0,47.53945729601885,122.00409829181969,9.486832980505138,45.79945980759245,10.689553386022315,0.30068010137929235,115.8625,True,2
Debussy - Rêverie.mp4,109,index,4.47213595499958,19.4164878389476,53.14132102234569,129.4488315899375,10.04987562112089,46.76949885658664,10.58294042520541,0.1066129608169053,115.8625,True,2
Debussy - Rêverie.mp4,110,index,5.0,19.4164878389476,51.86520991955976,129.0968628588627,1.0,47.42309047055176,9.213948935890352,1.3689914893150572,115.8625,True,2
Debussy - Rêverie.mp4,111,index,5.830951894845301,19.849433241279208,52.55473337388365,128.51459061133875,2.0,47.95613257177489,8.312205318904057,0.9017436169862947,115.8625,True,2
Debussy - Rêverie.mp4,112,index,9.433981132056603,24.596747752497688,59.77457653551382,134.08206442324789,7.0710678118654755,48.957878115003126,8.174301151455326,0.13790416744873113,115.8625,True,2
Debussy - Rêverie.mp4,113,index,6.4031242374328485,22.825424421026653,55.362442142665635,131.91285001848757,4.0,49.474686323993126,7.756871036309794,0.41743011514553263,115.8625,True,2
Debussy - Rêverie.mp4,114,index,7.211102550927978,23.259406699226016,56.04462507680822,134.08206442324789,1.0,49.99056026613489,7.1426100330089035,0.6142610033008902,115.8625,True,2
Debussy - Rêverie.mp4,115,index,7.211102550927978,23.259406699226016,56.32051136131489,135.35139452550905,1.4142135623730951,50.45264722597736,6.665243660455919,0.47736637255298486,115.8625,True,2
Debussy - Rêverie.mp4,116,index,10.770329614269007,29.732137494637012,64.03124237432849,141.6827441857335,5.0990195135927845,51.30660616376694,6.544764879927985,0.12047878052793326,115.8625,True,2
Debussy - Rêverie.mp4,117,index,10.770329614269007,30.675723300355934,64.76109943476871,141.6827441857335,1.0,52.06845387591086,6.148710245647415,0.39605463428057064,115.8625,True,2
Debussy - Rêverie.mp4,118,index,10.44030650891055,29.410882339705484,62.5859409132754,141.38246001537814,2.23606797749979,52.66088344713797,5.887867427770906,0.260842817876509,115.8625,True,2
Debussy - Rêverie.mp4,119,index,11.704699910719626,32.28002478313795,66.49060083951716,144.2497833620557,2.0,53.349658058182946,5.6448757135352245,0.24299171423568122,115.8625,True,2
Debussy - Rêverie.mp4,120,index,11.704699910719626,31.32091952673165,67.68308503607086,143.0034964607509,2.0,53.942504656735025,5.430471259797859,0.21440445373736594,115.8625,True,2
Debussy - Rêverie.mp4,121,index,13.341664064126334,32.984845004941285,68.24954212300622,143.68020044529447,1.0,54.5325912263243,5.184333967586866,0.24613729221099234,115.8625,True,2
Debussy - Rêverie.mp4,122,index,13.601470508735444,35.4400902933387,72.78049189171504,146.84004903295286,2.8284271247461903,55.19748250029068,5.060338870595252,0.1239950969916146,115.8625,True,2
Debussy - Rêverie.mp4,123,index,13.341664064126334,33.95585369269929,71.19691004531025,144.10065926289164,4.242640687119285,55.72004696358899,5.019453961421453,0.04088490917379861,115.8625,True,2
Debussy - Rêverie.mp4,124,index,12.36931687685298,31.575306807693888,67.08203932499369,139.5600229292042,4.0,56.04988622649839,4.970908534687099,0.04854542673435436,115.8625,True,2
Debussy - Rêverie.mp4,125,index,12.165525060596439,30.59411708155671,63.34824385884742,135.05924625881784,6.324555320336759,56.24269971915549,5.03243793403481,-0.06152939934771151,115.8625,True,2
Debussy - Rêverie.mp4,126,index,12.36931687685298,30.364452901377952,63.60031446463138,136.6235704408284,6.324555320336759,56.43820902140624,5.088616950830547,-0.05617901679573656,115.8625,True,2
Debussy - Rêverie.mp4,127,index,10.770329614269007,28.792360097775937,62.93647591023825,137.2953021774598,2.8284271247461903,56.5844760184283,4.994442374743699,0.0941745760868482,115.8625,True,2
Debussy - Rêverie.mp4,128,index,8.94427190999916,26.92582403567252,61.032778078668514,134.48048185517482,2.23606797749979,56.634930536486316,4.884107398853942,0.11033497588975649,115.8625,True,2
Debussy - Rêverie.mp4,129,index,8.94427190999916,26.0,60.728905802755904,133.79461872586654,0.0,57.23388205053993,4.884107398853942,0.0,115.8625,True,2
Debussy - Rêverie.mp4,130,index,9.848857801796104,26.570660511172846,61.40032573203501,134.40610105199838,1.4142135623730951,57.58313768384567,3.7400094597645754,1.1440979390893666,115.8625,True,2
Debussy - Rêverie.mp4,131,index,10.44030650891055,27.202941017470888,60.876925020897694,133.76471881628578,1.0,58.08111988284989,3.5800094597645757,0.1599999999999997,115.8625,True,2
Debussy - Rêverie.mp4,132,index,10.44030650891055,26.92582403567252,61.84658438426491,133.13526955694348,2.0,58.633740304696005,3.302238583364609,0.27777087639996667,115.8625,True,2
Debussy - Rêverie.mp4,133,index,10.44030650891055,27.202941017470888,61.1310068623117,132.18925826253812,1.0,59.04793987532994,2.9627652641444033,0.33947331922020574,115.8625,True,2
Debussy - Rêverie.mp4,134,index,10.770329614269007,29.410882339705484,64.5600495662759,133.19534526401438,2.23606797749979,59.36251817911028,2.6502129583995595,0.31255230574484383,115.8625,True,2
Debussy - Rêverie.mp4,135,index,10.770329614269007,27.51363298439521,63.324560795950255,131.5750736271882,1.0,59.640568543154615,2.65021295839956,-4.440892098500626e-16,115.8625,True,2
Debussy - Rêverie.mp4,136,index,10.770329614269007,27.51363298439521,63.60031446463138,131.91285001848757,1.0,59.91104272275898,2.61021295839956,0.040000000000000036,115.8625,True,2
Debussy - Rêverie.mp4,137,index,9.486832980505138,27.202941017470888,62.0966987850401,131.5750736271882,1.4142135623730951,59.935784488427856,2.3839387884198646,0.2262741699796953,115.8625,True,2
Debussy - Rêverie.mp4,138,index,9.486832980505138,27.51363298439521,62.36184731067546,131.5750736271882,0.0,60.08011994925937,2.2239387884198645,0.16000000000000014,115.8625,True,2
Debussy - Rêverie.mp4,139,index,9.486832980505138,26.248809496813376,62.0966987850401,131.24404748406687,0.0,60.16491184922152,2.1839387884198644,0.040000000000000036,115.8625,True,2
Debussy - Rêverie.mp4,140,index,10.44030650891055,28.861739379323623,63.788713735268246,133.13526955694348,2.0,60.30574798965619,2.207370245924941,-0.02343145750507647,115.8625,True,2
Debussy - Rêverie.mp4,141,index,11.40175425099138,30.083217912982647,65.96969000988257,135.02962637880623,2.23606797749979,60.26842633849316,2.0928521844812207,0.11451806144372023,115.8625,True,2
Debussy - Rêverie.mp4,142,index,11.40175425099138,30.083217912982647,66.49060083951716,134.40610105199838,1.0,60.21334411369678,2.0928521844812207,0.0,115.8625,True,2
Debussy - Rêverie.mp4,143,index,10.44030650891055,28.160255680657446,66.2872536767062,133.52153384379613,2.23606797749979,60.15924171302478,2.0928521844812207,0.0,115.8625,True,2
Debussy - Rêverie.mp4,144,index,11.180339887498949,29.614185789921695,64.6297145282261,133.6637572418193,2.23606797749979,60.00287059854513,2.1022949035812126,-0.009442719099991947,115.8625,True,2
